구분,Unnamed: 1,Unnamed: 2,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,95% CI
충북,여,,,,,,,,,,,3.9(0.3),4.9(0.3),5.1(0.4),3.5(0.3),3.5(0.3),4.4(0.3),4.7(0.3),4.6(0.3),4.0-5.3
충북,19-29,,,,,,,,,,,3.5(0.6),4.0(0.6),4.3(0.7),3.8(0.6),3.3(0.6),3.8(0.6),3.3(0.6),3.6(0.7),2.3-4.9
충북,30-39,,,,,,,,,,,1.9(0.4),2.7(0.5),3.5(0.7),1.9(0.4),4.2(0.6),4.0(0.7),3.3(0.6),3.2(0.6),2.2-4.3
충북,40-49,,,,,,,,,,,1.7(0.3),1.7(0.3),2.4(0.4),2.2(0.4),1.9(0.3),3.3(0.5),3.8(0.5),2.6(0.4),1.9-3.3
충북,50-59,,,,,,,,,,,2.0(0.4),2.7(0.4),3.5(0.5),2.2(0.3),1.9(0.3),2.4(0.4),2.9(0.4),2.4(0.4),1.7-3.2
충북,60-69,,,,,,,,,,,3.9(0.6),4.3(0.5),3.2(0.5),2.2(0.4),1.8(0.3),2.7(0.4),3.1(0.4),3.2(0.5),2.2-4.2
충북,70이상,,,,,,,,,,,6.6(0.7),8.0(0.7),6.3(0.6),3.5(0.4),4.3(0.6),5.4(0.5),5.6(0.5),5.9(0.5),4.9-7.0
충남,N,(명),,,,,,,,,,"13,395","13,454","13,435","13,414","13,469","14,329","14,321","14,334",
충남,전체,(조율),,,,,,,,,,5.4(0.3),5.0(0.3),3.9(0.2),2.5(0.2),4.2(0.3),4.7(0.2),4.7(0.3),5.0(0.3),4.5-5.5
충남,,(표준화율),,,,,,,,,,5.2(0.4),4.3(0.3),3.6(0.3),2.4(0.2),4.0(0.3),4.8(0.3),5.1(0.3),4.8(0.3),4.2-5.4
충남,남,,,,,,,,,,,4.3(0.5),3.8(0.3),2.4(0.2),1.8(0.2),3.6(0.4),3.6(0.3),3.2(0.3),3.4(0.3),2.8-4.0
충남,여,,,,,,,,,,,6.5(0.5),6.2(0.4),5.4(0.4),3.4(0.3),4.8(0.3),5.8(0.4),6.2(0.4),6.7(0.4),5.9-7.5
충남,19-29,,,,,,,,,,,6.6(1.0),3.5(0.7),4.5(0.9),2.7(0.5),4.8(1.0),5.1(0.8),6.3(1.0),6.0(0.9),4.3-7.7
충남,30-39,,,,,,,,,,,5.0(0.8),3.3(0.6),3.1(0.6),2.5(0.5),3.1(0.5),4.7(0.7),5.9(0.8),4.1(0.7),2.8-5.4
충남,40-49,,,,,,,,,,,3.2(0.6),3.5(0.5),2.4(0.5),1.8(0.4),4.1(0.6),4.6(0.6),4.4(0.6),3.8(0.6),2.7-5.0
충남,50-59,,,,,,,,,,,2.9(0.4),4.0(0.6),2.8(0.4),2.3(0.3),3.1(0.5),3.9(0.5),2.5(0.5),3.2(0.5),2.3-4.1
충남,60-69,,,,,,,,,,,5.9(0.8),4.6(0.5),3.2(0.4),1.7(0.3),2.9(0.3),3.6(0.5),3.1(0.4),4.6(0.5),3.7-5.6
충남,70이상,,,,,,,,,,,10.2(0.9),11.8(0.8),7.7(0.5),4.3(0.5),6.8(0.8),6.3(0.5),6.5(0.5),8.3(0.6),7.1-9.5
전북,N,(명),,,,,,,,,,"12,382","12,444","12,326","12,383","12,372","12,348","12,379","12,399",
전북,전체,(조율),,,,,,,,,,3.5(0.3),4.3(0.4),3.0(0.3),3.0(0.2),3.5(0.2),4.0(0.4),3.2(0.3),3.8(0.3),3.3-4.3
전북,,(표준화율),,,,,,,,,,3.0(0.3),3.9(0.4),2.8(0.3),3.0(0.3),3.4(0.3),3.6(0.3),3.2(0.3),3.3(0.3),2.8-3.9
전북,남,,,,,,,,,,,2.3(0.3),2.5(0.5),1.7(0.4),2.2(0.3),2.1(0.2),2.7(0.4),2.5(0.3),2.2(0.3),1.6-2.8
전북,여,,,,,,,,,,,4.8(0.4),6.0(0.5),4.1(0.4),3.8(0.4),4.9(0.4),5.2(0.5),4.0(0.4),5.4(0.4),4.7-6.2
전북,19-29,,,,,,,,,,,2.3(0.7),4.8(1.2),3.3(0.6),3.0(0.8),4.2(0.8),4.1(0.8),2.5(0.5),3.9(0.8),2.3-5.5
전북,30-39,,,,,,,,,,,3.3(0.8),2.6(0.6),2.6(0.9),4.6(0.9),3.0(0.6),3.7(0.7),4.5(1.0),2.6(0.6),1.3-3.8
전북,40-49,,,,,,,,,,,1.3(0.3),3.2(1.1),2.8(0.9),1.1(0.2),2.7(0.6),2.1(0.4),2.4(0.5),2.7(0.5),1.6-3.8
전북,50-59,,,,,,,,,,,2.1(0.3),3.3(0.5),1.1(0.3),2.5(0.6),2.8(0.6),3.1(0.5),2.0(0.4),2.2(0.4),1.4-3.0
전북,60-69,,,,,,,,,,,4.4(0.9),4.2(0.7),1.9(0.4),2.2(0.3),2.6(0.3),4.0(1.1),3.7(0.6),2.5(0.4),1.8-3.3
전북,70이상,,,,,,,,,,,8.4(0.7),7.5(0.6),5.8(0.5),5.0(0.5),5.5(0.4),6.3(0.6),4.4(0.3),7.9(0.7),6.5-9.4
전남,N,(명),,,,,,,,,,"19,599","19,558","19,460","19,483","19,496","19,450","19,464","19,515",
전남,전체,(조율),,,,,,,,,,3.0(0.2),3.2(0.2),2.9(0.2),2.1(0.1),2.3(0.1),3.1(0.2),3.2(0.2),3.6(0.2),3.2-4.1
전남,,(표준화율),,,,,,,,,,2.6(0.2),2.7(0.2),2.6(0.2),2.0(0.2),2.1(0.2),2.8(0.2),3.1(0.3),3.1(0.2),2.6-3.5
전남,남,,,,,,,,,,,2.1(0.2),2.0(0.2),1.9(0.2),1.3(0.2),1.5(0.1),1.9(0.2),2.5(0.3),2.8(0.3),2.3-3.3
전남,여,,,,,,,,,,,4.0(0.3),4.3(0.2),3.8(0.3),2.9(0.2),3.1(0.2),4.4(0.3),4.0(0.2),4.5(0.3),3.8-5.1
전남,19-29,,,,,,,,,,,3.4(0.7),2.5(0.5),2.5(0.6),2.3(0.4),2.1(0.4),3.3(0.7),3.9(0.9),2.3(0.7),1.0-3.6
전남,30-39,,,,,,,,,,,1.7(0.4),2.3(0.5),2.4(0.5),1.4(0.3),2.7(0.5),2.4(0.4),3.5(0.6),2.8(0.5),1.9-3.7
전남,40-49,,,,,,,,,,,1.7(0.3),1.8(0.3),2.4(0.5),2.0(0.4),1.3(0.3),2.0(0.3),1.8(0.3),2.7(0.4),1.8-3.5
전남,50-59,,,,,,,,,,,2.3(0.3),1.7(0.2),2.0(0.4),1.5(0.3),1.3(0.2),2.5(0.3),2.1(0.3),3.0(0.5),2.0-4.0
전남,60-69,,,,,,,,,,,2.6(0.3),4.0(0.4),2.8(0.4),1.5(0.2),1.5(0.2),2.5(0.4),2.3(0.3),3.9(0.5),2.9-4.9
전남,70이상,,,,,,,,,,,6.2(0.4),6.2(0.4),4.7(0.3),3.4(0.3),4.5(0.3),5.4(0.3),5.4(0.3),5.8(0.4),5.1-6.6
경북,N,(명),,,,,,,,,,"22,114","22,087","22,048","22,045","22,159","22,104","21,269","21,266",
경북,전체,(조율),,,,,,,,,,3.1(0.2),3.6(0.2),3.5(0.2),3.2(0.2),3.4(0.2),4.2(0.2),4.2(0.2),3.8(0.2),3.5-4.2
경북,,(표준화율),,,,,,,,,,2.9(0.2),3.4(0.2),3.5(0.2),3.3(0.2),3.3(0.2),4.2(0.2),4.1(0.2),3.7(0.2),3.3-4.2
경북,남,,,,,,,,,,,2.4(0.2),2.8(0.2),2.5(0.2),2.1(0.2),2.3(0.2),2.6(0.2),3.2(0.2),2.4(0.2),2.0-2.8
경북,여,,,,,,,,,,,3.8(0.2),4.4(0.3),4.5(0.3),4.4(0.3),4.4(0.3),5.7(0.3),5.2(0.3),5.2(0.3),4.7-5.8
